Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err irac3 irac3_err f125w f125w_err f160w f160w_err Redshift
Q1422-d76 27.31 9999.0 25.12 0.1 24.44 0.1 24.39 0.13 23.79 0.41 23.15 0.19 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.939
Q1422-d77 27.6 0.93 25.12 0.1 23.97 0.1 22.15 0.02 20.93 0.1 20.72 0.1 20.31 0.1 9999.0 9999.0 9999.0 9999.0 2.643
Q1422-d78 27.08 9999.0 24.86 0.1 23.99 0.1 22.34 0.03 21.8 0.1 21.6 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.106
Q1422-d8 26.85 9999.0 23.95 0.1 23.41 0.1 99.0 9999.0 9999.0 9999.0 22.49 0.12 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.049
Q1422-d80 27.51 9999.0 25.32 0.1 24.99 0.1 24.52 0.11 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.909
Q1422-d81 26.88 9999.0 23.99 0.1 23.46 0.1 22.21 0.02 22.02 0.1 22.18 0.13 21.25 0.2 9999.0 9999.0 9999.0 9999.0 3.1
Q1422-d88 27.07 9999.0 25.83 0.12 24.2 0.1 24.49 0.13 23.42 0.23 22.88 0.2 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.75
Q1422-d91 26.75 0.47 24.15 0.1 23.62 0.1 23.71 0.08 23.36 0.23 23.08 0.24 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.919
Q1422-d95 28.06 0.98 26.04 0.12 25.1 0.12 22.94 0.03 22.84 0.1 22.62 0.12 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.445
Q1422-m16 28.13 9999.0 27.52 0.34 25.93 0.21 24.99 0.12 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.581
Q1422-m18 28.75 9999.0 28.01 0.42 25.88 0.25 25.46 0.13 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.36
Q1422-m22 28.84 9999.0 27.6 0.31 25.94 0.24 25.87 0.13 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.556
Q1422-m26 27.96 9999.0 27.15 0.29 25.34 0.18 22.53 0.01 21.26 0.1 21.26 0.1 21.32 0.3 9999.0 9999.0 9999.0 9999.0 3.101
Q1422-md106 27.64 0.5 26.34 0.12 25.83 0.17 24.67 0.09 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 24.68 0.05 24.5 0.05 2.414
Q1422-md108 27.36 0.44 25.93 0.1 25.52 0.17 26.04 0.37 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.723
Q1422-md111 25.59 0.18 24.01 0.1 23.52 0.1 22.38 0.03 22.03 0.1 22.1 0.12 9999.0 9999.0 23.28 0.05 22.9 0.05 2.66
Q1422-md119 27.94 0.92 26.0 0.13 25.11 0.12 24.34 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 24.59 0.05 24.17 0.05 2.751
Q1422-md12 26.09 0.22 25.08 0.1 25.14 0.11 99.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.638
Q1422-md120 27.82 9999.0 26.79 0.21 25.12 0.13 24.61 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.561
Q1422-md126 27.77 9999.0 26.71 0.19 25.89 0.22 24.76 0.11 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.264
Q1422-md127 27.58 9999.0 26.99 0.18 25.72 0.21 25.63 0.19 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 25.98 0.06 25.96 0.08 2.968
Q1422-md133 25.45 0.15 23.71 0.1 23.51 0.1 21.9 0.02 22.16 0.14 21.6 0.1 20.77 0.2 9999.0 9999.0 9999.0 9999.0 2.747
Q1422-md136 27.66 0.74 25.93 0.12 25.08 0.12 23.62 0.05 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 24.17 0.05 23.64 0.05 2.583
Q1422-md139 26.96 9999.0 25.46 0.12 24.39 0.1 23.25 0.06 23.08 0.25 23.07 0.24 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.748
Q1422-md14 27.57 0.65 25.74 0.1 24.82 0.11 99.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.823
Q1422-md145 27.33 9999.0 27.3 0.25 24.96 0.17 25.47 0.16 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 25.47 0.05 26.75 0.13 2.799
Q1422-md147 27.66 0.72 25.74 0.1 24.81 0.1 23.84 0.06 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 24.25 0.05 23.83 0.05 2.486
Q1422-md150 27.39 0.63 25.79 0.12 25.1 0.11 25.4 0.29 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.506
Q1422-md152 27.06 9999.0 25.43 0.11 24.11 0.1 22.29 0.02 21.85 0.1 21.26 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.941
Q1422-md156 27.31 0.61 25.36 0.1 24.2 0.1 23.42 0.05 22.63 0.14 22.71 0.17 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.7
Q1422-md16 26.37 0.29 24.86 0.1 24.37 0.1 99.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.811
Q1422-md163 27.21 9999.0 26.17 0.15 25.01 0.12 23.36 0.04 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.67
Q1422-md164 27.87 0.67 26.47 0.15 25.87 0.23 25.05 0.14 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.64
Q1422-md166 27.65 9999.0 27.13 0.21 26.08 0.26 99.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.973
Q1422-md172 27.93 9999.0 26.49 0.21 25.41 0.16 25.92 0.44 25.11 0.38 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.66
Q1422-md176 27.44 0.47 26.08 0.11 25.82 0.17 23.59 0.03 22.78 0.1 22.97 0.16 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.097
Q1422-md180 27.23 0.56 25.3 0.1 24.75 0.11 24.3 0.11 24.08 0.4 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.692
Q1422-md181 26.28 0.25 25.32 0.1 24.68 0.12 23.23 0.04 9999.0 9999.0 10.85 0.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.438
Q1422-md183 27.11 0.42 25.84 0.1 25.29 0.16 23.68 0.05 23.03 0.24 22.69 0.16 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.297
Q1422-md184 27.62 0.79 25.54 0.1 24.77 0.1 23.5 0.05 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.687
Q1422-md185 26.59 0.42 24.82 0.1 23.93 0.1 22.95 0.04 22.42 0.1 22.39 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.86
Q1422-md186 27.87 0.93 25.95 0.13 24.94 0.11 23.89 0.07 23.17 0.26 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.913
