Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err f814w f814w_err mosfire_J mosfire_J_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err f125w f125w_err f160w f160w_err Redshift
Q0933-MD59 26.61 9999.0 26.22 0.15 25.52 0.17 26.16 0.7 25.53 0.37 24.67 0.11 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.641
Q0933-MD63 26.25 9999.0 25.62 0.12 24.87 0.13 25.28 0.43 24.99 0.31 24.43 0.12 23.37 0.2 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.625
Q0933-MD68 26.51 9999.0 25.91 0.13 25.22 0.18 26.05 0.74 25.82 0.58 23.75 0.1 22.01 0.13 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.985
Q0933-MD69 26.59 0.63 25.21 0.1 24.72 0.11 25.31 0.43 25.11 0.34 24.27 0.1 24.03 0.16 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.534
Q0933-MD70 26.11 0.75 23.85 0.1 23.11 0.1 23.26 0.12 23.37 0.13 23.21 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.863
Q0933-MD71 26.29 0.57 25.73 0.12 24.89 0.16 26.13 0.85 24.49 0.18 24.94 0.18 23.8 0.27 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.99
Q0933-MD75 26.85 0.75 25.66 0.1 24.98 0.17 26.11 0.72 26.83 9999.0 99.0 9999.0 9999.0 9999.0 9999.0 9999.0 25.68 0.05 25.51 0.06 2.913
Q0933-MD77 26.93 0.92 25.15 0.1 24.54 0.1 24.87 0.34 29.98 9999.0 25.43 0.36 24.56 0.31 9999.0 9999.0 24.41 0.05 24.08 0.05 2.776
Q0933-MD78 26.3 9999.0 25.55 0.13 24.15 0.1 24.24 0.19 24.18 0.17 24.22 0.12 23.63 0.35 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.453
Q0933-MD79 26.19 9999.0 25.29 0.12 24.36 0.1 24.85 0.41 99.0 9999.0 23.81 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.872
Q0933-MD81 27.07 0.85 25.6 0.1 24.99 0.14 25.46 0.44 24.26 0.14 24.12 0.1 23.32 0.19 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.225
Q0933-MD83 27.06 9999.0 26.1 0.17 25.02 0.15 25.58 0.53 25.61 0.52 24.25 0.1 23.62 0.25 9999.0 9999.0 24.87 0.05 24.23 0.05 2.88
Q0933-MD84 26.81 1.08 25.11 0.1 24.34 0.1 24.25 0.23 22.56 0.1 23.32 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.575
Q0933-MD87 26.08 0.1 24.84 0.1 24.15 0.1 24.08 0.22 24.15 0.23 23.68 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.14
