Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err f814w f814w_err mosfire_J mosfire_J_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err irac3 irac3_err f125w f125w_err f160w f160w_err Redshift
DSF2237b-M30 27.58 9999.0 25.8 0.25 24.72 0.07 24.88 0.29 9999.0 9999.0 23.71 0.13 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.403
DSF2237b-M31 26.93 9999.0 26.13 0.27 25.17 0.08 25.32 0.35 24.76 0.17 24.47 0.2 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.395
DSF2237b-M33 27.37 9999.0 26.34 0.32 25.3 0.09 24.9 0.23 22.57 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.418
DSF2237b-M6 27.21 9999.0 26.1 0.3 25.5 0.11 25.45 0.45 24.23 0.18 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.257
DSF2237b-MD10 26.46 9999.0 25.55 0.21 24.5 0.05 24.86 0.3 9999.0 9999.0 24.68 0.45 9999.0 9999.0 23.51 0.21 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.107
DSF2237b-MD19 26.76 0.77 25.05 0.13 24.51 0.06 24.2 0.17 22.95 0.1 22.12 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.616
DSF2237b-MD2 26.94 0.93 25.37 0.17 24.41 0.05 24.33 0.18 9999.0 9999.0 22.97 0.11 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.514
DSF2237b-MD20 25.98 0.27 24.68 0.1 24.8 0.05 24.76 0.21 24.58 0.12 24.31 0.12 9999.0 9999.0 24.51 0.37 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.616
DSF2237b-MD22 26.48 9999.0 24.94 0.11 24.31 0.04 24.18 0.15 23.39 0.1 23.16 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.926
DSF2237b-MD29 26.75 0.64 25.14 0.11 25.09 0.08 24.77 0.22 23.48 0.1 22.8 0.1 9999.0 9999.0 21.97 0.1 9999.0 9999.0 23.28 0.1 23.0 0.1 2.063
DSF2237b-MD30 26.39 0.42 25.17 0.13 25.09 0.08 25.0 0.29 23.94 0.1 23.18 0.1 9999.0 9999.0 22.58 0.14 9999.0 9999.0 24.02 0.1 23.75 0.1 2.07
DSF2237b-MD31 26.06 0.4 24.22 0.1 23.85 0.03 23.75 0.12 23.34 0.1 24.0 0.12 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 23.28 0.1 23.31 0.1 2.519
DSF2237b-MD33 26.93 0.57 25.39 0.13 25.02 0.06 24.93 0.23 24.3 0.1 24.39 0.11 9999.0 9999.0 23.43 0.21 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.551
DSF2237b-MD34 26.52 0.37 25.28 0.12 25.23 0.08 25.29 0.33 24.9 0.15 24.75 0.16 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 25.3 0.1 24.88 0.1 2.61
DSF2237b-MD37 26.88 9999.0 25.88 0.21 25.17 0.07 25.23 0.31 24.41 0.1 23.63 0.1 9999.0 9999.0 22.91 0.15 9999.0 9999.0 24.4 0.1 23.83 0.1 2.614
DSF2237b-MD38 26.25 9999.0 24.91 0.14 23.83 0.03 23.72 0.12 23.15 0.1 22.55 0.1 9999.0 9999.0 22.48 0.1 9999.0 9999.0 23.48 0.1 23.37 0.1 3.326
DSF2237b-MD53 26.06 0.56 24.35 0.1 24.05 0.05 24.14 0.2 22.19 0.1 21.18 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 22.48 0.1 21.87 0.1 2.287
DSF2237b-MD56 26.99 9999.0 26.12 0.23 25.55 0.09 25.31 0.3 24.61 0.11 24.0 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.508
DSF2237b-MD6 26.99 0.79 25.6 0.2 25.29 0.1 25.51 0.5 9999.0 9999.0 24.83 0.5 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.103
DSF2237b-MD60 26.86 9999.0 25.01 0.14 24.31 0.05 24.13 0.17 23.39 0.1 23.67 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 24.13 0.1 23.91 0.1 3.144
DSF2237b-MD62 26.81 9999.0 25.84 0.21 25.37 0.09 25.21 0.32 24.62 0.15 24.16 0.14 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.508
DSF2237b-MD63 26.21 0.4 25.02 0.12 24.92 0.07 24.96 0.3 24.22 0.11 23.51 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.191
DSF2237b-MD65 26.5 0.93 24.99 0.2 23.94 0.07 22.56 0.1 9999.0 9999.0 23.78 0.14 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.057
DSF2237b-MD69 26.68 9999.0 25.58 0.19 24.68 0.05 24.67 0.23 24.2 0.17 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.916
DSF2237b-MD72 25.69 0.23 24.57 0.1 24.4 0.04 24.43 0.17 23.55 0.1 22.99 0.1 9999.0 9999.0 22.68 0.18 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.401
DSF2237b-MD81 25.88 0.35 24.49 0.1 24.22 0.04 24.1 0.15 22.77 0.1 9999.0 9999.0 22.01 0.16 21.06 0.1 20.68 0.1 9999.0 9999.0 9999.0 9999.0 2.825
DSF2237b-MD84 25.58 0.3 24.04 0.1 23.65 0.02 23.65 0.1 23.24 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.896
DSF2237b-MM17 26.58 9999.0 25.69 0.36 24.54 0.12 24.76 0.41 22.52 0.1 23.41 0.1 9999.0 9999.0 23.86 0.42 9999.0 9999.0 24.33 0.1 24.27 0.1 2.503
